Timepoint,Percent,Duration,Course
Pre,48.64864864864865,31.3,STAT 243
Pre,51.35135135135135,11.833333333333334,STAT 243
Pre,48.64864864864865,44.38333333333333,STAT 145
Pre,56.75675675675676,25.716666666666665,STAT 145
Pre,64.86486486486487,21.083333333333332,STAT 243
Pre,NA,33.083333333333336,STAT 243
Pre,59.45945945945946,38.93333333333333,STAT 243
Pre,83.78378378378379,29.05,STAT 145
Pre,51.35135135135135,37.15,STAT 243
Pre,54.054054054054056,18.666666666666668,STAT 243
Pre,59.45945945945946,28.85,STAT 145
Pre,64.86486486486487,29.783333333333335,STAT 145
Pre,54.054054054054056,59.4,STAT 145
Pre,54.054054054054056,23.65,STAT 145
Pre,62.16216216216216,31.433333333333334,STAT 145
Pre,70.27027027027027,24.516666666666666,STAT 145
Pre,56.75675675675676,70.68333333333334,STAT 243
Pre,70.27027027027027,49.65,STAT 243
Pre,67.56756756756756,26.55,STAT 145
Pre,75.67567567567568,49,STAT 145
Pre,72.97297297297297,32.95,STAT 243
Pre,70.27027027027027,53.06666666666667,STAT 145
Pre,56.75675675675676,22.6,STAT 243
Pre,43.24324324324324,43.45,STAT 145
Pre,51.35135135135135,28.4,STAT 145
Pre,59.45945945945946,32.05,STAT 145
Pre,56.75675675675676,31.633333333333333,STAT 145
Pre,56.75675675675676,22.233333333333334,STAT 145
Pre,59.45945945945946,28.133333333333333,STAT 145
Pre,75.67567567567568,26.516666666666666,STAT 243
Pre,78.37837837837837,22.366666666666667,STAT 243
Pre,64.86486486486487,43.3,STAT 145
Pre,54.054054054054056,42.96666666666667,STAT 145
Pre,72.97297297297297,33.4,STAT 243
Pre,48.64864864864865,29.15,STAT 243
Pre,70.27027027027027,24.25,STAT 243
Pre,64.86486486486487,54.85,STAT 145
Pre,62.16216216216216,68.43333333333334,STAT 243
Pre,62.16216216216216,50.6,STAT 145
Pre,NA,41.2,STAT 145
Pre,72.97297297297297,18.916666666666668,STAT 243
Pre,89.1891891891892,50.05,STAT 145
Pre,62.16216216216216,23.433333333333334,STAT 145
Pre,48.64864864864865,30.183333333333334,STAT 145
Pre,72.97297297297297,40.766666666666666,STAT 243
Pre,67.56756756756756,62.983333333333334,STAT 145
Pre,67.56756756756756,32.25,STAT 243
Pre,45.94594594594595,26.15,STAT 243
Pre,43.24324324324324,67.21666666666667,STAT 145
Pre,62.16216216216216,41.766666666666666,STAT 243
Pre,35.13513513513514,16.8,STAT 145
Pre,56.75675675675676,49.61666666666667,STAT 145
Pre,48.64864864864865,56.9,STAT 243
Pre,NA,4.883333333333334,STAT 243
Pre,89.1891891891892,49.6,STAT 243
Pre,NA,5.366666666666666,STAT 243
Pre,NA,23.333333333333332,STAT 243
Pre,NA,1.05,STAT 145
Pre,NA,17.916666666666668,STAT 145
Post,78.37837837837837,36.15,STAT 243
Post,81.08108108108108,38.416666666666664,STAT 243
Post,62.16216216216216,29.75,STAT 145
Post,81.08108108108108,17.75,STAT 243
Post,81.08108108108108,23.433333333333334,STAT 243
Post,78.37837837837837,32.78333333333333,STAT 145
Post,NA,29.366666666666667,STAT 243
Post,45.94594594594595,43.18333333333333,STAT 145
Post,89.1891891891892,35.61666666666667,STAT 145
Post,86.48648648648648,56.516666666666666,STAT 243
Post,75.67567567567568,51.7,STAT 243
Post,78.37837837837837,36.75,STAT 145
Post,62.16216216216216,19.616666666666667,STAT 243
Post,67.56756756756756,23,STAT 145
Post,70.27027027027027,19.466666666666665,STAT 243
Post,91.8918918918919,24.216666666666665,STAT 243
Post,81.08108108108108,48.15,STAT 145
Post,62.16216216216216,12.583333333333334,STAT 243
Post,81.08108108108108,44.53333333333333,STAT 145
Post,67.56756756756756,45.68333333333333,STAT 243
Post,89.1891891891892,25.55,STAT 243
Post,72.97297297297297,28.133333333333333,STAT 243
Post,59.45945945945946,29.883333333333333,STAT 243
Post,NA,31.083333333333332,STAT 145
Post,83.78378378378379,54.61666666666667,STAT 145
Post,86.48648648648648,51.03333333333333,STAT 243
Post,67.56756756756756,26.583333333333332,STAT 145
Post,67.56756756756756,20.9,STAT 243
Post,78.37837837837837,22.8,STAT 243
Post,86.48648648648648,60.56666666666667,STAT 145
Post,75.67567567567568,45.71666666666667,STAT 243
Post,NA,40.56666666666667,STAT 145
Post,NA,1.1833333333333333,STAT 243
Post,91.8918918918919,21.933333333333334,STAT 145
Post,59.45945945945946,40.583333333333336,STAT 145
Post,54.054054054054056,33.15,STAT 145
Post,NA,13.916666666666666,STAT 145
Post,94.5945945945946,27.933333333333334,STAT 145
Post,59.45945945945946,4.133333333333334,STAT 243
Post,70.27027027027027,27.116666666666667,STAT 145
Post,83.78378378378379,19.083333333333332,STAT 145
Post,75.67567567567568,52.25,STAT 243
Post,94.5945945945946,19.783333333333335,STAT 243
Post,67.56756756756756,72.11666666666666,STAT 243
Post,54.054054054054056,44.78333333333333,STAT 243
Post,NA,0.23333333333333334,STAT 243
Post,NA,18.483333333333334,STAT 145
Post,NA,55.8,STAT 243
Post,NA,1.4166666666666667,STAT 243
Pre,59.45945945945946,28.766666666666666,STAT 145
Pre,37.83783783783784,23.35,STAT 145
Pre,29.72972972972973,28.366666666666667,STAT 145
Pre,67.56756756756756,25.883333333333333,STAT 145
Pre,32.432432432432435,34.833333333333336,STAT 145
Pre,56.75675675675676,43.9,STAT 145
Pre,67.56756756756756,36.3,STAT 145
Pre,37.83783783783784,27.866666666666667,STAT 145
Pre,64.86486486486487,42.45,STAT 145
Pre,32.432432432432435,8.9,STAT 145
Pre,56.75675675675676,20.183333333333334,STAT 145
Pre,37.83783783783784,5.433333333333334,STAT 145
Pre,70.27027027027027,28.683333333333334,STAT 145
Pre,NA,0.4166666666666667,STAT 145
Pre,NA,0.25,STAT 145
Pre,NA,0.4666666666666667,STAT 145
Pre,NA,17.15,STAT 145
Post,78.37837837837837,14.983333333333333,STAT 145
Post,78.37837837837837,33.75,STAT 145
Post,78.37837837837837,25.316666666666666,STAT 145
Post,86.48648648648648,40.95,STAT 145
Post,86.48648648648648,35.88333333333333,STAT 145
Post,54.054054054054056,18.95,STAT 145
Post,91.8918918918919,65.38333333333334,STAT 145
Post,75.67567567567568,27.85,STAT 145
Post,70.27027027027027,24.566666666666666,STAT 145
Post,67.56756756756756,25.366666666666667,STAT 145
Post,72.97297297297297,19.266666666666666,STAT 145
Post,64.86486486486487,43.333333333333336,STAT 145
Post,70.27027027027027,29.9,STAT 145
Post,62.16216216216216,15.483333333333333,STAT 145
Post,18.91891891891892,5.066666666666666,STAT 145
Post,NA,44.65,STAT 145
Post,NA,28.566666666666666,STAT 145
Post,NA,1.6166666666666667,STAT 145
Post,NA,0.4,STAT 243
Post,NA,36.38333333333333,STAT 145
Pre,78.37837837837837,44.85,STAT 243
Pre,56.75675675675676,23.3,STAT 243
Pre,62.16216216216216,29.433333333333334,STAT 145
Pre,40.54054054054054,65.36666666666666,STAT 145
Pre,70.27027027027027,24.983333333333334,STAT 145
Pre,72.97297297297297,55.68333333333333,STAT 243
Pre,81.08108108108108,19.933333333333334,STAT 145
Pre,45.94594594594595,19.183333333333334,STAT 145
Pre,35.13513513513514,19.816666666666666,STAT 243
Pre,70.27027027027027,36.36666666666667,STAT 145
Pre,NA,64.65,STAT 243
Pre,45.94594594594595,60,STAT 243
Pre,40.54054054054054,35.083333333333336,STAT 243
Pre,75.67567567567568,47.13333333333333,STAT 243
Pre,40.54054054054054,14.466666666666667,STAT 145
Pre,62.16216216216216,34.93333333333333,STAT 145
Pre,62.16216216216216,18.033333333333335,STAT 243
Pre,67.56756756756756,22.8,STAT 145
Pre,81.08108108108108,29.766666666666666,STAT 243
Pre,45.94594594594595,60.733333333333334,STAT 243
Pre,45.94594594594595,20.416666666666668,STAT 145
Pre,43.24324324324324,29.7,STAT 243
Pre,91.8918918918919,23.583333333333332,STAT 243
Pre,62.16216216216216,39.65,STAT 243
Pre,67.56756756756756,52.56666666666667,STAT 145
Pre,78.37837837837837,36,STAT 145
Pre,62.16216216216216,26.266666666666666,STAT 243
Pre,29.72972972972973,29.983333333333334,STAT 145
Pre,75.67567567567568,43.3,STAT 145
Pre,48.64864864864865,24.483333333333334,STAT 243
Pre,35.13513513513514,43.983333333333334,STAT 243
Pre,51.35135135135135,42.483333333333334,STAT 145
Pre,NA,44.03333333333333,STAT 243
Pre,64.86486486486487,36.266666666666666,STAT 145
Pre,45.94594594594595,27.683333333333334,STAT 145
Pre,51.35135135135135,20.933333333333334,STAT 145
Pre,NA,17.233333333333334,STAT 145
Pre,NA,48.85,STAT 145
Pre,54.054054054054056,28.1,STAT 243
Pre,72.97297297297297,60.7,STAT 145
Pre,67.56756756756756,46.36666666666667,STAT 243
Pre,59.45945945945946,27.95,STAT 243
Pre,54.054054054054056,21.016666666666666,STAT 145
Pre,43.24324324324324,30.833333333333332,STAT 145
Pre,NA,0.6,STAT 243
Pre,67.56756756756756,47.483333333333334,STAT 145
Pre,37.83783783783784,25.2,STAT 243
Pre,64.86486486486487,35.666666666666664,STAT 145
Pre,45.94594594594595,13.866666666666667,STAT 243
Pre,64.86486486486487,22.216666666666665,STAT 243
Pre,40.54054054054054,33.8,STAT 243
Pre,48.64864864864865,35.25,STAT 145
Pre,59.45945945945946,42.53333333333333,STAT 145
Pre,45.94594594594595,64.76666666666667,STAT 145
Pre,56.75675675675676,9.633333333333333,STAT 243
Pre,NA,24.416666666666668,STAT 145
Pre,NA,2.1333333333333333,STAT 243
Pre,NA,1.7,STAT 243
Pre,NA,0.36666666666666664,STAT 243
Pre,NA,8.683333333333334,STAT 243
Pre,NA,30.683333333333334,STAT 145
Pre,NA,0.36666666666666664,STAT 243
Pre,NA,16.966666666666665,STAT 243
Pre,NA,16.833333333333332,STAT 243
Post,78.37837837837837,32.1,STAT 243
Post,86.48648648648648,5.766666666666667,STAT 243
Post,37.83783783783784,15.45,STAT 243
Post,89.1891891891892,31.366666666666667,STAT 243
Post,70.27027027027027,68.86666666666666,STAT 145
Post,70.27027027027027,37.06666666666667,STAT 145
Post,83.78378378378379,17.8,STAT 145
Post,78.37837837837837,15.1,STAT 243
Post,67.56756756756756,29.133333333333333,STAT 145
Post,83.78378378378379,24.616666666666667,STAT 243
Post,59.45945945945946,41.11666666666667,STAT 145
Post,94.5945945945946,24.383333333333333,STAT 243
Post,51.35135135135135,35.983333333333334,STAT 243
Post,89.1891891891892,34.583333333333336,STAT 145
Post,56.75675675675676,43.583333333333336,STAT 243
Post,78.37837837837837,57.88333333333333,STAT 243
Post,72.97297297297297,32.9,STAT 145
Post,75.67567567567568,31.633333333333333,STAT 243
Post,27.027027027027028,6.083333333333333,STAT 145
Post,72.97297297297297,28.816666666666666,STAT 243
Post,59.45945945945946,35.71666666666667,STAT 243
Post,NA,13.266666666666667,STAT 243
Post,35.13513513513514,2.9,STAT 243
Post,56.75675675675676,72.21666666666667,STAT 243
Post,43.24324324324324,68.28333333333333,STAT 145
Post,70.27027027027027,30.85,STAT 145
Post,72.97297297297297,33.93333333333333,STAT 243
Post,43.24324324324324,59.416666666666664,STAT 243
Post,45.94594594594595,6.133333333333334,STAT 145
Post,81.08108108108108,21.6,STAT 145
Post,75.67567567567568,34.21666666666667,STAT 145
Post,75.67567567567568,28.633333333333333,STAT 145
Post,78.37837837837837,24.316666666666666,STAT 145
Post,59.45945945945946,35.93333333333333,STAT 145
Post,67.56756756756756,26.75,STAT 145
Post,78.37837837837837,25.366666666666667,STAT 243
Post,64.86486486486487,34.18333333333333,STAT 243
Post,35.13513513513514,34.18333333333333,STAT 145
Post,NA,44.68333333333333,STAT 243
Post,67.56756756756756,17.783333333333335,STAT 243
Post,70.27027027027027,20.066666666666666,STAT 243
Post,70.27027027027027,24.65,STAT 243
Post,86.48648648648648,50.2,STAT 243
Post,70.27027027027027,25.933333333333334,STAT 145
Post,72.97297297297297,28.9,STAT 145
Post,67.56756756756756,23.483333333333334,STAT 145
Post,64.86486486486487,45.333333333333336,STAT 145
Post,72.97297297297297,21.283333333333335,STAT 145
Post,NA,0.5,STAT 145
Post,NA,21.733333333333334,STAT 145
Post,NA,68.06666666666666,STAT 243
Post,NA,5.116666666666666,STAT 145
Post,NA,24.55,STAT 145
Post,NA,3.2666666666666666,STAT 145
Post,NA,9.583333333333334,STAT 243
Pre,64.86486486486487,48,STAT 145
Pre,29.72972972972973,14.45,STAT 145
Pre,64.86486486486487,28.65,STAT 145
Pre,45.94594594594595,25.716666666666665,STAT 145
Pre,62.16216216216216,32.55,STAT 145
Pre,59.45945945945946,54.36666666666667,STAT 145
Pre,NA,15.483333333333333,STAT 145
Pre,37.83783783783784,27.8,STAT 145
Pre,70.27027027027027,41.2,STAT 145
Pre,54.054054054054056,29.033333333333335,STAT 145
Pre,59.45945945945946,34.88333333333333,STAT 145
Pre,45.94594594594595,29.983333333333334,STAT 145
Pre,59.45945945945946,38.81666666666667,STAT 145
Pre,45.94594594594595,15.2,STAT 145
Pre,NA,1.05,STAT 145
Pre,62.16216216216216,12.633333333333333,STAT 145
Pre,24.324324324324326,7.333333333333333,STAT 145
Pre,45.94594594594595,38.43333333333333,STAT 145
Pre,27.027027027027028,8,STAT 145
Pre,59.45945945945946,32.78333333333333,STAT 145
Pre,32.432432432432435,16.45,STAT 145
Pre,59.45945945945946,18.433333333333334,STAT 145
Pre,27.027027027027028,3.8333333333333335,STAT 145
Pre,NA,37.516666666666666,STAT 145
Pre,64.86486486486487,36.266666666666666,STAT 145
Pre,45.94594594594595,39.083333333333336,STAT 145
Pre,54.054054054054056,23.933333333333334,STAT 145
Pre,40.54054054054054,54.21666666666667,STAT 145
